"sector";"row_number";"size";"build";"type";"wall"
"18L";1;0.43;4;"n";1
"18L";2;0.46;4;"n";2
"18L";3;0.87;4;"n";3
"18L";4;0.52;4;"n";4
"18L";5;0.74;4;"n";5
"18L";6;0.57;4;"n";6
"18L";7;0.38;4;"n";7
"18L";8;0.69;4;"n";8
"18L";9;0.52;4;"n";9
"18L";10;1.15;4;"n";10
"18L";11;1.46;4;"n";11
"18L";12;1.17;4;"n";12
"18L";13;0.37;4;"n";13
"18L";14;0.65;4;"n";14
"18L";15;0.43;4;"n";15
"18L";16;0.45;4;"n";16
"18L";17;0.99;4;"n";17
"18L";18;0.49;4;"n";18
"18L";19;0.81;4;"n";19
"18L";20;0.52;4;"n";20
"18L";21;0.44;4;"n";21
"18L";22;0.6;5;"n";1
"18L";23;0.35;5;"n";2
"18L";24;1.11;5;"n";3
"18L";25;0.38;5;"n";4
"18L";26;1.12;5;"n";5
"18L";27;0.44;5;"n";6
"18L";28;1.08;5;"n";7
"18L";29;0.47;5;"n";8
"18L";30;1.13;5;"n";9
"18L";31;0.51;5;"n";10
"18L";32;1.11;5;"n";11
"18L";33;0.55;5;"n";12
"18L";34;0.55;5;"n";13
"18L";35;0.74;5;"n";14
"18L";36;1.13;5;"n";15
"18L";37;0.39;5;"n";16
"18L";38;1.13;5;"n";17
"18L";39;0.48;5;"n";18
"18L";40;0.62;5;"n";19
"18L";41;0.49;5;"n";20
"18L";42;0.35;5;"n";21
"18L";43;0.96;5;"n";22
"18L";44;1.29;5;"n";23
"18L";45;0.99;5;"n";24
"18L";46;0.57;5;"n";25
"18L";47;0.94;5;"n";26
"18L";48;1.25;5;"n";27
"18L";49;0.96;5;"n";28
"18L";50;0.42;5;"n";29
"18L";51;0.92;5;"n";30
"18L";52;0.48;5;"n";31
"18L";53;0.48;5;"n";32
"18L";54;1.26;5;"n";33
"18L";55;0.55;5;"n";34
"18L";56;1.16;5;"n";35
"18L";57;0.44;5;"n";36
"18L";58;0.68;5;"n";37
"18L";59;0.82;6.1;"n";1
"18L";60;0.59;6.1;"n";2
"18L";61;0.88;6.1;"n";3
"18L";62;0.51;6.1;"n";4
"18L";63;0.94;6.1;"n";5
"18L";64;0.55;6.1;"n";6
"18L";65;0.99;6.1;"n";7
"18L";66;0.53;6.1;"n";8
"18L";67;0.88;6.1;"n";9
"18L";68;0.76;6.1;"n";10
"18L";69;0.6;6.1;"n";11
"18L";70;0.86;6.1;"n";12
"18L";71;0.45;6.1;"n";13
"18L";72;0.79;6.1;"n";14
"18L";73;0.46;6.1;"n";15
"18L";74;0.82;6.1;"n";16
"18L";75;1.05;6.1;"n";17
"18L";76;0.44;6.1;"n";18
"18L";77;1;6.1;"n";19
"18L";78;1.15;6.1;"n";20
"18L";79;1.01;6.1;"n";21
"18L";80;0.44;6.1;"n";22
"18L";81;0.96;6.1;"n";23
"18L";82;0.7;6.1;"n";24
"18L";83;0.58;6.1;"n";25
"18L";84;1.04;6.1;"n";26
"18L";85;0.54;6.1;"n";27
"18L";86;0.87;6.1;"n";28
"18L";87;0.5;6.1;"n";29
"18L";88;0.78;6.1;"n";30
"18L";89;0.73;6.2;"n";1
"18L";90;0.57;6.2;"n";2
"18L";91;0.33;6.2;"n";3
"18L";92;0.39;6.2;"n";4
"18L";93;0.56;6.2;"n";5
"18L";94;0.83;6.2;"n";6
"18L";95;0.48;6.2;"n";7
"18L";96;0.54;6.2;"n";8
"18L";97;0.48;6.3;"n";1
"18L";98;0.6;6.3;"n";2
"18L";99;0.82;6.3;"n";3
"18L";100;1.28;6.3;"n";4
"18L";101;0.96;6.3;"n";5
"18L";102;0.49;6.3;"n";6
"18L";103;0.67;6.3;"n";7
"18L";104;0.84;6.3;"n";8
"18L";105;0.59;6.3;"n";9
"18L";106;0.77;6.3;"n";10
"18L";107;0.55;6.3;"n";11
"18L";108;0.36;6.3;"n";12
"18L";109;0.55;6.3;"n";13
"18L";110;0.7;6.3;"n";14
"18L";111;0.43;6.3;"n";15
"18L";112;0.67;6.3;"n";16
"18L";113;0.51;6.3;"n";17
"18L";114;0.79;6.3;"n";18
"18L";115;0.59;6.3;"n";19
"18L";116;0.44;6.3;"n";20
"18L";117;0.97;6.3;"n";21
"18L";118;0.48;6.3;"n";22
"18L";119;0.9;6.3;"n";23
"18L";120;0.6;6.3;"n";24
"18L";121;0.98;6.3;"n";25
"18L";122;0.8;6.4;"n";1
"18L";123;0.41;6.4;"n";2
"18L";124;0.7;6.4;"n";3
"18L";125;0.52;6.4;"n";4
"18L";126;0.38;6.4;"n";5
"18L";127;1.1;6.4;"n";6
"18L";128;0.36;6.4;"n";7
"18L";129;0.71;6.4;"n";8
